Code zone (M49);Zone;Code Élément;Élément;Produit;Année;Unité;Valeur;Symbole;Description du Symbole
4;Afghanistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;27638;I;Valeur imputée
710;Afrique du Sud;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1658159;A;Chiffre officiel
8;Albanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;12912;A;Chiffre officiel
12;Algérie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;259963;I;Valeur imputée
276;Allemagne;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1009565;A;Chiffre officiel
24;Angola;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;40461;I;Valeur imputée
28;Antigua-et-Barbuda;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;23;I;Valeur imputée
682;Arabie saoudite;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;650000;X;Ciffre de sources internationales
32;Argentine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;2116000;A;Chiffre officiel
51;Arménie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;10600;A;Chiffre officiel
36;Australie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1229505;A;Chiffre officiel
40;Autriche;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;127200;A;Chiffre officiel
31;Azerbaïdjan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;104362;A;Chiffre officiel
44;Bahamas;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6573;I;Valeur imputée
48;Bahreïn;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;8928;A;Chiffre officiel
50;Bangladesh;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;195372;I;Valeur imputée
52;Barbade;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;15805;A;Chiffre officiel
112;Bélarus;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;484900;X;Ciffre de sources internationales
56;Belgique;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;455364;A;Chiffre officiel
84;Belize;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;19646;A;Chiffre officiel
204;Bénin;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;14109;A;Chiffre officiel
64;Bhoutan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1571;A;Chiffre officiel
68;Bolivie (État plurinational de);5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;504093;A;Chiffre officiel
70;Bosnie-Herzégovine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;60970;A;Chiffre officiel
72;Botswana;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1316;I;Valeur imputée
76;Brésil;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;13607352;A;Chiffre officiel
96;Brunéi Darussalam;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;23576;I;Valeur imputée
100;Bulgarie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;87029;A;Chiffre officiel
854;Burkina Faso;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;188000;A;Chiffre officiel
108;Burundi;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;7321;I;Valeur imputée
132;Cabo Verde;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;902;A;Chiffre officiel
116;Cambodge;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;17481;I;Valeur imputée
120;Cameroun;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;76827;I;Valeur imputée
124;Canada;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1237223;A;Chiffre officiel
152;Chili;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;626127;A;Chiffre officiel
159;Chine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;13861132;E;Valeur estimée
344;Hong-Kong;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;23400;E;Valeur estimée
446;Macao;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3409;I;Valeur imputée
156;Chine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;13279000;E;Valeur estimée
158;Taiwan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;555323;A;Chiffre officiel
196;Chypre;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;25100;A;Chiffre officiel
170;Colombie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1563607;A;Chiffre officiel
174;Comores;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;575;I;Valeur imputée
178;Congo;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6537;I;Valeur imputée
188;Costa Rica;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;133200;A;Chiffre officiel
384;Côte d'Ivoire;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;58460;I;Valeur imputée
191;Croatie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;52400;A;Chiffre officiel
192;Cuba;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;29250;A;Chiffre officiel
208;Danemark;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;151712;A;Chiffre officiel
212;Dominique;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;364;I;Valeur imputée
818;Égypte;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1302922;A;Chiffre officiel
222;El Salvador;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;136238;A;Chiffre officiel
784;Émirats arabes unis;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;57387;A;Chiffre officiel
218;Équateur;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;459886;A;Chiffre officiel
232;Érythrée;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1560;E;Valeur estimée
724;Espagne;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1317487;A;Chiffre officiel
233;Estonie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;20400;A;Chiffre officiel
748;Eswatini;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;5686;I;Valeur imputée
840;États-Unis d'Amérique;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;19140570;A;Chiffre officiel
231;Éthiopie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;67383;I;Valeur imputée
643;Fédération de Russie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;4542244;A;Chiffre officiel
242;Fidji;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;33071;A;Chiffre officiel
246;Finlande;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;120800;A;Chiffre officiel
250;France;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1161745;A;Chiffre officiel
266;Gabon;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3995;I;Valeur imputée
270;Gambie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1550;I;Valeur imputée
268;Géorgie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;21800;A;Chiffre officiel
288;Ghana;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;58350;I;Valeur imputée
300;Grèce;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;243730;A;Chiffre officiel
